FOODSTORE_ID,FOODSTORE_NAME,FOODCATEGORY_CODE,FOODCATEGORY,ADDRESS,WORKING_TIME,IMG_URL,RATE,LATITUDE,LONGITUDE,AREA,TAG_STORE,TAG_GENDER,TAG_AGE,TAG_ID
25722092,삼정하누 역삼본점,31,한정식,서울 강남구 봉은사로26길 12 1층,월~금 11:00 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5D12EA1DCF7D47C39994AD3818114C4D,4.1,127.0330815,37.5060821,역삼동,가격,남,40대,38
25744174,수담한정식,31,한정식,서울 강남구 봉은사로 418,매일 11:30 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7CAFA23C0FF940C9B30E45BE1894D3D3,3.4,127.0459981,37.5105122,삼성동,서비스,남,50대,38
26788426,해담채 삼성점,31,한정식,서울 강남구 테헤란로 504 해성빌딩 지하 1층,월~금 11:30 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FDB7E0A189693442AA16DDB8592964DC7,3.9,127.0573581,37.5066298,대치동,분위기,남,50대,38
26796590,가온,31,한정식,서울 강남구 도산대로 317 호림아트센터 M층,목~토 12:00 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F23386F4F55654F4B28,2,127.0363515,37.5226971,신사동,주차,남,30대,38
663711334,아선재,31,한정식,서울 강남구 영동대로 333 동원빌딩 지하1층,매일 11:30 ~ 23:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7355D9F920E344BD81362DD42FF3B2F8,3,127.0648878,37.5041577,대치동,맛,여,20대,38
955125754,수라선 역삼점,31,한정식,서울 강남구 언주로 517 신라스테이역삼 1층,매일 11:30 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD26593592EBA452C9F472AEDAB4AA7DC,2.4,127.0414138,37.5045822,역삼동,가격,여,60대이상,38
1629588496,만강,31,한정식,서울 강남구 밤고개로21길 81 1~3층,매일 11:00 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0634F1B12C3E4DFDA6F483FF4B86BF22,2.4,127.1153685,37.4741538,율현동,서비스,남,20대,38
2097539257,진풍정 강남점,31,한정식,서울 강남구 테헤란로52길 15 이스타빌 지하2층,매일 11:30 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE472515726F7462C894FED69F4A7C80E,3.1,127.0479577,37.5031754,역삼동,분위기,남,30대,38
2142723351,해담채 강남점,31,한정식,서울 강남구 테헤란로10길 18 역삼823빌딩 지하1층,월~금 11:30 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F86B6455D971847F9844FC442EF98A580,4,127.0323265,37.4979755,역삼동,주차,남,60대이상,38
8915439,돌곰네,32,해산물,서울 강남구 언주로146길 18 동현아파트 상가 지하1층,월~토 11:30 ~ 03:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F24783E3553D9F8FD12,3.7,127.0366558,37.5192666,논현동,분위기,남,10대,39
